status|||李开复|||【如何应对理想和实际的分歧】1）追逐理想：只要能解决温饱问题，从中得到的享受将超过物质享受；2）先为了现实问题而做不是最爱的工作，把不爱的工作做得足够好，然后用其他时间去追逐理想；3）先为了现实问题而做不是最爱的工作，在解决了吃饭问题后，再去做最爱的工作；4）寻找一个两者的交叉点。
repost|||杂货店老板的女儿不会做买卖|||'开导师'总结得足够全面，用心体会，默默流泪[睡觉]@suziechan 现在自助等于助人，别怪我絮叨
repost|||杂货店老板的女儿不会做买卖|||'开导师'总结得足够全面，用心体会，默默流泪[睡觉]@suziechan 现在自助等于助人，别怪我絮叨
repost|||我把承诺当真了|||嗯
repost|||简单是美3224133762|||转发微博
repost|||清越J|||转发微博
repost|||重邮通信学院学习部|||转发微博
repost|||夕阳0213|||转发微博
repost|||無能鳥|||转发微博
repost|||dentistgaofeng|||有道理！
repost|||dentistgaofeng|||有
repost|||我不找北|||转发微博
repost|||华子HZH|||转发微博
repost|||谭巨娜||| @邱大瑜
repost|||路上best|||转发微博
repost|||啊拨呲嘚|||转发微博
repost|||贝拉部落|||追寻路上！
repost|||HC侯亚坤|||转发微博
repost|||小fart灰|||转发微博
repost|||OttoChe|||需要认真思考的
repost|||阿波2694574504|||转发微博。
repost|||美好的遇见at嚒嚒茶|||[疑问]
repost|||三木是笨蛋|||转发微博
repost|||兔子雨2013|||@傻小子东东
repost|||sjeper|||转发微博
repost|||小翠2940419735|||转发微博
repost|||PZ乒乓-黄仕鸿|||转发微博
repost|||Still_Phoenix|||转发微博
repost|||月澈水遥||| @遥水澈月
repost|||四毛彡狼-阆中|||转发微博
repost|||曹呆呆Cassie|||转发微博
repost|||玖零不再后|||转发微博
repost|||活出平凡人的精彩|||转发微博
repost|||依然丶云朵cloud|||现在都处于这阶段
repost|||起司黄加宁|||转发微博
repost|||pangguanzhebuqing|||转发微博
repost|||柏树坞上一抹绿|||转发微博
repost|||我是飞鱼Spring|||转发微博
repost|||空杯天秤座|||转发微博
repost|||ak阳光碎片|||转发微博
repost|||jing语儿|||嗯，现实与理想
repost|||LSFei2772|||理想与现实的分歧!
repost|||狒狒要吹出悠扬的陶笛声|||只要不放弃理想，就总能找到出路
repost|||手机用户3174059907|||转发微博
repost|||jailyn686|||转发微博
repost|||撕心2001|||转发微博
repost|||明天过后1001|||转发微博
repost|||细微草堂|||转发微博
repost|||myarashi|||转发微博
repost|||C-huck|||转发微博
repost|||雪雪姐在奋斗||| @大葱big-cong
repost|||我就是李小强|||这个时候还熬汤！！！真操蛋！
repost|||不蓝不黑-fyp|||转发微博
repost|||西马树|||转发微博。
repost|||JUWEL丹妮|||你要是选择性障碍的话，想着想着就抑郁了[飞机]还有就是。给灾区点上蜡烛[蜡烛]亮一些
repost|||小毛Q青|||转发微博
repost|||Zubeyde-LoveEiffel|||就像你还没赚钱就说你不喜欢钱
repost|||M臭猴子|||灾区是必然要关注的，但是说别的就该骂？他妈的中国人能不能正常点。做好自己该做的和能做的，别只会对别人指手画脚的
repost|||晚晚wan|||转发微博
repost|||xiaobingbing2007|||其实这可能是李开复老师机器发的，实际上，我能体会李开复老师的心情，他自知不能为救灾做点什么，就选择了沉默，而不是占用微博资源。正如李老师所说，最讨厌假装帮助别人的人，他知道他的朋友们能比他做的多得多，于是选择沉默，是真君子！
repost|||王小满是Bunny|||@April不慌不忙不投降
repost|||一生一世一双人---风|||转发微博
repost|||我是Liu-didi|||转发微博
repost|||Heidi_俏辰|||转发微博
repost|||梨鲜森|||转发微博
repost|||葵Sunflower-WW|||转发微博
repost|||i苹果20112493933617|||转发微博
repost|||你好小崧|||转发微博
repost|||Carlos-Leon|||值得参考！
repost|||SunnyYuhong|||如何应对理想和现实的分歧
repost|||zh岩雨|||转发微博。
repost|||格格需要正能量|||转发微博
repost|||zengpanda|||最近也在思考这个问题，我估计选择两者的交叉点吧。
repost|||紫霖1990|||转发微博
repost|||-杨亚强-|||大多数的情况吧。
repost|||summercatt|||转发微博
repost|||洋桃树下_Reci|||转发微博
repost|||稀饭64|||转发微博
repost|||wowyou|||哦看
repost|||细细童鞋|||试着喜欢不爱的并尽可能做好
repost|||红叶redly|||转发微博
repost|||独家记忆罗曼史|||转发微博
repost|||Faxhoo蜗牛君|||仔细看看这几点
repost|||志强闭关中咸人勿扰|||转发微博
repost|||媛家虎妞|||好好工作
repost|||心情豁然开朗|||转发微博
repost|||马克图文|||转发微博
repost|||曾樊顺--微博|||转发微博。
repost|||vkingnew|||转发微博
repost|||WEAT__|||转发微博
repost|||赖羽晴你不够努力|||转发微博
repost|||黑涩抽疯|||转发微博
repost|||梁伟炬|||转发微博
repost|||取不出好名字就叫我GF|||转发微博
repost|||whyzlk||| @晓雨_kelly
repost|||二笔小新c|||转发微博
repost|||汪源手机用户3224004811|||值得思考
repost|||董敏儿|||转发微博
repost|||许家晓V|||转发微博
repost|||疾行慢赏|||转发微博
repost|||蓝天198001|||转发微博
repost|||kenny007|||转发微博
repost|||爱生活胜过爱读书|||转发微博
repost|||sasa_gao|||转发微博
repost|||Bella_not_Banana|||[鼓掌][鼓掌][鼓掌]有道理
repost|||相识mei缘分|||转发微博
repost|||披雨登峰|||转发微博
repost|||街角的祝福gu|||转发微博
repost|||小铭_Jerry|||无
repost|||尚立人|||转发微博
repost|||LOW_CARBON_|||先为了现实问题而做不是最爱的工作，把不爱的工作做得足够好，然后用其他时间去追逐理想
repost|||小悲伤_54120|||转发微博
repost|||多多头1|||转发微博
repost|||双方都乐园|||[呵呵]
repost|||海上的曙光|||转发微博
repost|||任荣昆|||转发微博
repost|||冰岛轻风|||转发微博
repost|||Water简单爱|||转发微博
repost|||傅傅傅小琳|||转发微博
repost|||Xs你最珍贵|||转发微博
repost|||陈超_533|||纠结中
repost|||云卷云舒-平安喜乐|||转发微博
repost|||larialiu||| @风吹过高山
repost|||水水ALAN|||转发微博
repost|||或者3289744685|||转发微博
repost|||Hanroro|||我就知道你这时候发这条微博会被人骂的[酷]
repost|||asdfdma|||转发微博
repost|||钟衍辉|||转发微博
repost|||爱是非爱太极拳|||@文绮绮绮／@百图110
repost|||羽姐儿|||转发微博
repost|||盛洪满|||转发微博
repost|||NotAfraid3|||转发微博
repost|||小小愛米粒兒|||转发微博
repost|||羽柔LOVE|||//@有志者成2011:轉發微博
repost|||FF578|||转发微博
repost|||自由的老渔夫|||转发微博
repost|||竹叶青风时|||转发微博
repost|||Anok_马健||| @李开复 老师，能说点灾情相关的事吗？或者什么都不说。
repost|||老Lisa|||谢谢李老师！
repost|||北纬21度2370988147|||我选第四种。
repost|||keith-zhangcs|||转发微博
repost|||集通铁路锡林浩特车务段|||//@杨子三木:转发微博
repost|||四紀|||转发微博
repost|||海上的曙光|||转发微博
repost|||岳来岳聪明|||转发微博
repost|||Lain先生不是藤井B|||转发微博
repost|||LesChivalry|||转发微博
repost|||颇坏蛋|||那种才是最好的选择呢，迷茫的80后，求指导
repost|||梦影-SUN|||转发微博。
repost|||想要流浪的蛇|||转发微博
repost|||造价1201团支部|||@福建工程学院团委 @闽工院青年宣传中心
repost|||程大嘴|||T
repost|||風兒隨心121|||Repost
repost|||晓琳在绵阳|||转发微博
repost|||彡周林|||交叉点
repost|||欣然而已|||转发微博
repost|||大橡树森林|||转发微博
repost|||lixiaofeihao|||转发微博
repost|||有志者成2011|||轉發微博
repost|||12楼的刘懿|||理想很丰满，现实很骨感！
repost|||骑行中的柠檬|||转发微博
repost|||默以期许待终生|||转发微博
repost|||冷月-无情99||| @晔子爱哨牙
repost|||马铃薯艾特洋山芋|||温饱没解决、我有什么资格谈理想
repost|||幽幽山谷悠悠自得|||你个小李子，人家都在救灾！你在这说什么理想！是时候吗？
repost|||箫之安|||转发微博
repost|||田小麦Jill|||转发微博
repost|||一颗圆圆的卤蛋|||转发微博
repost|||Xiaoming刘明胜|||先做自己不感兴趣的工作，努力赚钱，赚到了能满足我物质生活所要的金钱后，再去做自己想要做的事
repost|||Lost梅丽|||转发微博
repost|||TIGER_李虎|||人生若无理想还有什么意义呢
repost|||若水玻璃||| @小鬼游游 @a紫百合
repost|||猪筱游|||很有用！谢谢开复老师！
repost|||ihapwkapwk|||转发微博
repost|||远上寒山石径狭|||转发微博
repost|||等待你的转身_爱|||转发微博
repost|||家家徐|||转发微博
repost|||錯覺20110401|||转发微博
repost|||大漠之鹰的美好生活|||转发微博
repost|||马民酒精|||纠结
repost|||Mojn_Tilda|||转发微博
repost|||ethan浩男|||轉發微博
repost|||L丹淳|||转发微博
repost|||一个选择改变一生|||转发微博
repost|||real_OY|||转发微博。
repost|||陈玉节|||说的太对了，支持开复同志，希望多传递一些新的经验和知识给需要的人！你在不知不觉中已经拨开了很多潜水的迷茫，谢谢！
repost|||亚芳nancy|||转发微博
repost|||正二八斤奔幸福|||转发微博
repost|||corrine_cc|||转发微博
repost|||王濮玉|||转发微博
repost|||Y疯叮混混N|||问题是工资比物价涨的慢啊！[泪][泪][泪]@张静小妞 @失童真的小女孩
repost|||啥名都无所谓|||转发微博
repost|||期待相逢0503|||转发微博
repost|||犟柺拐|||转发微博
repost|||阿辉飞吧|||转发微博
repost|||YOUANDME小玄子|||学习。。。
repost|||Con_nie言|||转发微博
repost|||Garfield不想起早床|||转发微博
repost|||丫景啊最爱吃奶酪|||赞同
repost|||201314蜕变love|||转发微博
repost|||easonfeng|||转发微博
repost|||ringringthewriter|||转发微博
repost|||安了个宁|||要这样啊。
repost|||Willing3803|||转发微博。
repost|||克诺撒斯|||[good]
repost|||appledzp|||Repost
repost|||虫之语|||转发微博
repost|||君子无私|||转发微博
repost|||摩羯座_龙哥|||转发微博
repost|||王杰劉言|||转发微博
repost|||课后没答案|||转发微博
repost|||猪猪虎-白|||梦
repost|||Sher-王小呆|||转发微博
repost|||范小盆|||转发微博
repost|||LJ榤嘉林|||转发微博
repost|||守护帆||| @依加de @Jamle蕊儿
repost|||Liry陳琳|||转发微博
repost|||仰望星辰的小狐狸|||//@SharePoint专家: 转发微博
repost|||突兀的新人类|||转发微博
repost|||无言独上西楼_11813|||转发微博
repost|||通旭慧|||转发微博
repost|||机器猫伯伯|||这句话我同意 而且是特别！
repost|||栋强daymoday|||转发微博
repost|||zx_jonas|||转发微博
repost|||李承桥|||转发微博。
repost|||雨过晴空ing|||Confusing
repost|||kly602|||完全同意
repost|||邓树博||| @晓敏-Deng
repost|||杨子三木|||转发微博
repost|||阳光下的眼泪85|||转发微博
repost|||田客M-NT|||转发微博
repost|||糖葫芦2453672017|||转发微博
repost|||Young---洋|||转发微博
repost|||An_X_Eric|||转发微博
repost|||手机用户3216989303|||转发微博。
repost|||哇噢桑_apparit|||yes sir！ 新目标——变得强大起来吧~！ 呀吼！[心] 强大起来就能做想做的 帮想帮的 爱所爱的  一切都在强大了 有了力量的基础之上 不是嘛[月亮]
repost|||手机用户3269359844|||我,
repost|||嗼棄women|||转发微博
repost|||手机用户3228614624|||好
repost|||love微笑的高原雄鹰|||转发微博
repost|||青岛民众广播电台|||如果可以，请更换为黑色头像
repost|||52你半边儿天|||[拳头]
repost|||童-小柱|||转发微博
repost|||Ccc-ling|||转发微博
repost|||紫梓Lee|||2
repost|||肥仔大熊猫|||转发微博
repost|||Neal_MrQ|||转发微博
repost|||风光依旧6888|||转发微博
repost|||小仙蓉蓉rong|||转发微博
repost|||小小聚点|||轉發微博
repost|||刘利彪smile|||转发微博。
repost|||手机用户3228614624|||转发微博。
repost|||Queen_YJQ|||转发微博
repost|||绿叶妹|||转发微博
repost|||毕业来临|||转发微博
repost|||JOY洋小样|||2)无处不在
repost|||Gloryern|||转发微博
repost|||呢时代仲缺啲乜嘢|||转发微博
repost|||云淡风轻14|||转发微博
repost|||妖-1987|||[兔子]
repost|||天一生水129|||转发微博
repost|||披着羊皮的大灰|||我的理想是当作家。但是在取得财务自由之前只能写随笔和杂文。//@DaveYin世界:共勉之@披着羊皮的大灰
repost|||郭帅zzz|||转发微博
repost|||放生m敏m|||转发微博
repost|||马克-Steven|||转发微博
repost|||一只没有老鼠|||[赞]
repost|||辛苦钢铁青春|||转发微博
repost|||粮食一颗|||或许，你是对的。
repost|||人言|||冯仑有句话挺好的——坚持理想，顺便赚钱。励志与安慰齐行。
repost|||2009飘在西北|||转发微博
repost|||格殿SWIFT|||转发微博
repost|||瑶瑶呀呀呀|||轉發微博
repost|||启瑞Q|||转发微博
repost|||琴麻岛的海13|||转发微博
repost|||周幕卫|||Repost
repost|||angelnx|||转发微博
repost|||王寻兵|||关键是许多人都找不到二者的交点，今天很糟糕，明天很美好，但大多数人都死在了黎明
repost|||00蓝色风车00|||转发微博
repost|||L-Fish_Summer|||转发微博
repost|||LoewyLL|||收藏@村民夫子
repost|||许灿85|||转发微博
repost|||Leader_陈萍儿|||[nono晕]肿么办
repost|||挺立的挺|||靠谱
repost|||任--超|||转发微博
repost|||S-u-mm-er|||转发微博
repost|||会吃蘑菇的猫|||转发微博
repost|||wing_girls猫头鹰|||嗯，是的
repost|||benny-shen2012|||转发微博
repost|||calingna77|||转发微博
repost|||igtao|||转发微博
repost|||木木屑|||转发微博
repost|||D-offer|||转发微博
repost|||Elyon_寻找生活的节奏|||转发微博
repost|||羊皮卷的质感|||转发微博
repost|||再别康桥2312387211|||转发微博
repost|||善良的东方欲晓|||转发微博
repost|||黄海工程|||转发微博
repost|||陶抗|||转发微博。
repost|||涡旋于床角孫淞泥|||两者交叉点
repost|||心如天使的鬼|||转发微博
repost|||秀吉寡淡|||转发微博
repost|||国王策划|||转发微博
repost|||程cc800|||转发微博
repost|||俺想春风满皇都|||[good]
repost|||兽欢淫|||[good]
repost|||ChenFH1984|||转发微博
repost|||孤独_寻找自我|||转发微博
repost|||清丽子007|||交叉点…总在平行线上
repost|||越千其|||转发微博
repost|||深海小咸鱼|||转发微博
repost|||游走冰刃|||转发微博
repost|||青昙月色|||也许吧
repost|||属于我的康桥|||选择1
repost|||-惢砕-|||转发微博
repost|||孙润冠哲|||转发微博
repost|||jiangchengmeier|||转发微博
repost|||赵伟复|||微博是社交媒体，大家在微博上转发灾情忽然好，但不能瞬间把微博变成灾区平台。不过，希望开复老师多转些灾情。
repost|||LiuZD_A|||看看下面评论，基本在骂@李开复 。。。一帮神经病好无聊
repost|||放羊也要硕士|||鸡汤哥您还真敬业[生病][吐]
repost|||疯子-继续前行|||转发微博
repost|||曹阿玲要happy|||转发微博
repost|||刘涛0703|||追逐理想：只要能解决温饱问题，从中得到的享受将超过物质享受
repost|||终南山真正的隐士||| @喵咪喵喵爱设计
repost|||大丞-Rain|||转发微博
repost|||内森糊|||代管微博的小弟，或者公关公司太不识相了
repost|||飘摇的摩天轮|||转发微博
repost|||老孬C小赖|||转发微博
repost|||飞鸟山猪|||转发微博
repost|||色丫克|||转发微博
repost|||TomXiaoXu|||转发微博
repost|||梦飞扬-95|||转发微博
repost|||俞斌Francies|||转发微博
repost|||Princess-娇娇|||转发微博
repost|||八哥9||| @陈晨猫咪YY
repost|||二号眼神|||转发微博
repost|||爰坑坑洼洼|||转发微博
repost|||老丁的旅馆|||转发微博。
repost|||大叔_戴慶微博|||嗯嗯嗯！
repost|||笑忘书黑曼巴|||转发微博。
repost|||宋涛Frank|||Repost
repost|||SKY先森-H|||现实就是通往理想的必经之路，现实是中点，理想是终点，你能走到哪，问自己！
repost|||林森Ma|||转 
repost|||戴-玻玻玻|||转发微博
repost|||合适会比爱更重要|||转发微博
repost|||品客猪|||先解决温饱，再去做最爱的工作，升华到，将最爱做成能解决温饱的事业[嘻嘻]@大梦一场的二坤
repost|||山川-李宝峰|||赞
repost|||自由卡拉卡拉2011|||转发微博
repost|||秦国军_|||转发微博
repost|||逸冷寒3300717587|||转发微博
repost|||_Angela_Chan_|||转发微博
repost|||手机用户3036720101|||加油！为理想！
repost|||世界会记得|||转发微博
repost|||大笑老蘑菇|||转发微博
repost|||手机用户3272649204|||转发微博
repost|||人间大炮|||转发微博
repost|||野生的骄傲2012|||转发微博
repost|||christ0622|||转发微博
repost|||小猴世界|||转发微博
repost|||李倩_幸福的去追求|||我现在就是没平衡好
repost|||zhichaoniu|||转发微博
repost|||6opuc|||转发微博
repost|||冯云凯|||转发微博
repost|||冯云凯|||那得工资涨得比物价上涨更快才行。
repost|||为-爱-冲-动|||转发微博
repost|||Dr支蕊|||是呀！
repost|||gloveauthur1314|||转发微博
repost|||星野同学|||转发微博
repost|||快乐至上-哎呀|||转发微博。
repost|||孤独患我|||4
repost|||墨镜耶稣|||转发微博
repost|||想你雨就停了丶LYH|||转发微博
repost|||H_H1126|||转发微博
repost|||路上行人-匆匆那年|||只有做好不愿意做的，后面才有机会做自己想做的
repost|||思想家伟哥|||转发微博
repost|||出埃及记2011||| @传说中的老高0720
repost|||流年唯爱单色调||| @开封大学团委
repost|||Ally黄兰茹|||转发微博
repost|||不仅仅旁观|||转发微博
repost|||自家人laogong|||转发微博
repost|||路上行人-匆匆那年|||只有做好不愿意做的，后面才能做自己想做的
repost|||Erics551|||转发微博
repost|||yong龙89|||转发微博
repost|||雨中听海迷失自己|||有道理
repost|||波比two|||转发微博
repost|||ZhiliCao|||感觉说了等于白说[汗][汗][汗]
repost|||津水如岩|||转发微博
repost|||Lolawong2010|||至今仍不知理想是什么
repost|||love悠悠blog|||转发微博
repost|||男腻弯|||[good]
repost|||壞蛋的壞不是真的壞而是很壞|||我衕意
repost|||xuxujiejie|||补充4，寻找一个时间和空间平衡的点
repost|||Mnchina|||转发微博。
repost|||饶阿根|||转发微博
repost|||-赢在路上|||转发微博
repost|||浪子十四阿哥|||转发微博
repost|||帆哥在找昵称|||转发微博
repost|||soydios|||转发微博
repost|||Quorra__|||转发微博
repost|||安仔是大儿童|||转发微博
repost|||我i马宝贝|||转发微博
repost|||fenger系林培浇|||转发微博
repost|||懒懒懒到哪一天|||转发微博
repost|||遺莣了時間|||先解决吃饭问题.. 在还没有找到理想之前...
repost|||士慧1988|||转发微博。
repost|||白友丁|||转发微博
repost|||叶赛尼|||转发微博
repost|||营销学员林小康|||很客观很直白嘛
repost|||痴痴的小猪罗罗|||转发微博
repost|||Daisy-郭|||对
repost|||孙悟空wcy|||转发微博
repost|||NC乐|||转发微博
repost|||肖小饭大人|||转发微博
repost|||流动的线条|||转发微博
repost|||jingcandy|||嗯
repost|||李成ls|||转发微博
repost|||潘畅畅Melody|||转发微博
repost|||曹梓凌|||转发微博
repost|||秃鹫行动|||转发微博
repost|||x-天道酬勤-x|||转发微博
repost|||-向日葵班班长|||理想和现实真的很难取舍。。为了生活放弃理想了，
repost|||-zythum-|||理想和现实总是相距那么遥远
repost|||普林斯没有盾|||转发微博
repost|||离执--|||转发微博
repost|||紫竹3305886351|||转发微博
repost|||西芦木木酱|||转发微博
repost|||刘琳琳ONE|||转发微博
repost|||想去远方旅行的人|||转发微博
repost|||窗外_10902|||转发微博
repost|||孤独战士20132013|||的确如此！肚子都填不饱谈何理想！
